Qubits,Layers,Key,Loss,Time_Seconds,Status
2,1,5,0.1424465,10.4609,Success
2,1,35,0.06477479,10.3261,Success
2,1,1031,0.2292543,10.3622,Success
2,3,5,0.1430785,16.3405,Success
2,3,35,0.166957,16.1483,Success
2,3,1031,0.2033496,16.3338,Success
2,5,5,0.08621753,22.8409,Success
2,5,35,0.04086102,23.1232,Success
2,5,1031,0.1436632,23.4256,Success
2,7,5,0.06507074,28.6754,Success
2,7,35,0.01209937,31.426,Success
2,7,1031,0.2133841,30.2477,Success
2,10,5,0.07772099,38.8628,Success
2,10,35,0.1836082,38.6468,Success
2,10,1031,0.1446765,37.9537,Success
4,1,5,0.0006601014,16.948,Success
4,1,35,0.002891083,17.2788,Success
4,1,1031,0.001280153,17.7815,Success
4,3,5,2.207652e-05,33.7538,Success
4,3,35,1.459766e-05,33.7358,Success
4,3,1031,3.429353e-05,33.6977,Success
4,5,5,6.309839e-06,45.8838,Success
4,5,35,4.908415e-06,46.1054,Success
4,5,1031,3.985668e-06,45.8214,Success
4,7,5,1.984892e-05,60.6213,Success
4,7,35,4.021925e-06,60.783,Success
4,7,1031,0.0001345462,60.5729,Success
4,10,5,6.911803e-06,83.026,Success
4,10,35,2.366018e-05,82.6795,Success
4,10,1031,3.552192e-05,83.0698,Success
6,1,5,0.003326164,31.0745,Success
6,1,35,7.66196e-06,30.861,Success
6,1,1031,1.207752e-05,30.8437,Success
6,3,5,1.546924e-06,58.0772,Success
6,3,35,8.708578e-06,58.1755,Success
6,3,1031,4.33272e-05,58.2257,Success
6,5,5,2.077469e-06,87.4274,Success
6,5,35,2.434366e-06,87.2535,Success
6,5,1031,1.969948e-06,87.3266,Success
6,7,5,3.652223e-06,118.1872,Success
6,7,35,4.029848e-06,117.6868,Success
6,7,1031,1.788793e-06,118.8377,Success
6,10,5,4.838816e-06,160.9461,Success
6,10,35,2.419026e-05,161.8123,Success
6,10,1031,1.65256e-05,161.3591,Success
8,1,5,0.0001937142,64.1099,Success
8,1,35,3.429696e-06,58.0926,Success
8,1,1031,6.817627e-05,58.2874,Success
8,3,5,2.141406e-06,124.3266,Success
8,3,35,1.132622e-06,124.428,Success
8,3,1031,8.321644e-06,124.7694,Success
8,5,5,2.814856e-06,190.9798,Success
8,5,35,1.611289e-05,191.4766,Success
8,5,1031,4.596452e-06,190.7415,Success
8,7,5,1.63291e-06,265.1527,Success
8,7,35,2.158854e-06,263.1777,Success
8,7,1031,2.742117e-06,263.2887,Success
8,10,5,2.852859e-06,370.0102,Success
8,10,35,1.133445e-06,367.2882,Success
8,10,1031,1.28598e-06,367.091,Success
